stock_id,stock_received_date,facility_name,drug_id,drug_name,quantity_received,supplier,batch_number,expiry_date,delivery_delay_days
GRN-20200705-0773,2020-07-05,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,3934,National Medical Stores,VGOUJOYS,2021-07-17,7
GRN-20200705-0774,2020-07-05,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1343,Quality Chemicals Industries,GKH9XCMP,2021-10-29,1
GRN-20200706-0775,2020-07-06,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1176,National Medical Stores,LCFXN2YO,2022-12-20,3
GRN-20200706-0776,2020-07-06,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1337,Abacus Pharma,ZKSVPE7N,2022-05-08,0
GRN-20200708-0777,2020-07-08,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,2244,Cipla Quality Chemicals,G5L6RNQP,2022-12-02,2
GRN-20200708-0778,2020-07-08,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,820,National Medical Stores,IJ426D7E,2021-10-14,3
GRN-20200709-0779,2020-07-09,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,921,EMHS Uganda,HIG8I1YJ,2022-08-06,4
GRN-20200711-0780,2020-07-11,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,895,Joint Medical Store,EVUVO5Z7,2021-09-13,1
GRN-20200712-0781,2020-07-12,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,1028,Abacus Pharma,UWP0U4PT,2022-06-17,0
GRN-20200712-0782,2020-07-12,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,538,National Medical Stores,9UE1Z1WY,2022-01-06,6
GRN-20200714-0783,2020-07-14,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1303,Abacus Pharma,7FBJ4PV1,2022-08-22,1
GRN-20200715-0784,2020-07-15,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,1831,National Medical Stores,RLBENWGZ,2022-11-03,4
GRN-20200715-0785,2020-07-15,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1854,National Medical Stores,UPQKAJHH,2022-04-05,3
GRN-20200715-0786,2020-07-15,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1122,Joint Medical Store,IU0GGIWO,2021-12-18,6
GRN-20200716-0787,2020-07-16,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,831,Joint Medical Store,GOL67O0N,2022-11-10,5
GRN-20200716-0788,2020-07-16,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1418,National Medical Stores,EV4BHP2S,2022-10-25,7
GRN-20200716-0789,2020-07-16,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,567,Cipla Quality Chemicals,IRLT5ZXA,2021-09-21,2
GRN-20200717-0790,2020-07-17,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,486,Joint Medical Store,M43J1KB4,2022-03-11,2
GRN-20200717-0791,2020-07-17,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,816,Joint Medical Store,AGACZVGG,2022-03-18,4
GRN-20200720-0792,2020-07-20,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2464,Joint Medical Store,JE259ARE,2022-08-01,7
GRN-20200720-0793,2020-07-20,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,816,Quality Chemicals Industries,I7B62Q78,2022-02-05,4
GRN-20200721-0794,2020-07-21,Allan Galpin Health Center,D021,Metformin 850mg Tablets,1894,Abacus Pharma,CKMOZC0W,2022-06-16,2
GRN-20200722-0795,2020-07-22,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1347,National Medical Stores,L320ZR3F,2022-04-04,7
GRN-20200723-0796,2020-07-23,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,1210,Cipla Quality Chemicals,XHVDLH8D,2022-03-15,7
GRN-20200723-0797,2020-07-23,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1042,Joint Medical Store,76IKWT6E,2023-01-06,2
GRN-20200723-0798,2020-07-23,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,942,Quality Chemicals Industries,42HKV599,2022-03-15,3
GRN-20200723-0799,2020-07-23,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1830,Abacus Pharma,D4UA9N8T,2021-10-18,0
GRN-20200724-0800,2020-07-24,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1044,EMHS Uganda,H0GQWMNW,2022-02-06,7
GRN-20200724-0801,2020-07-24,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,4678,EMHS Uganda,LMJ3FYWM,2022-03-13,3
GRN-20200724-0802,2020-07-24,Allan Galpin Health Center,D028,ORS Sachets,2177,Joint Medical Store,6WUQD3X1,2022-12-14,5
GRN-20200725-0803,2020-07-25,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,778,Cipla Quality Chemicals,NJZTBD42,2022-05-31,2
GRN-20200725-0804,2020-07-25,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,2338,Cipla Quality Chemicals,BE0MT90X,2021-08-23,0
GRN-20200725-0805,2020-07-25,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,483,Abacus Pharma,MEAAL8AF,2022-11-14,7
GRN-20200727-0806,2020-07-27,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,609,Abacus Pharma,C78RHZU2,2022-03-06,4
GRN-20200727-0807,2020-07-27,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1366,National Medical Stores,2D8LK8VS,2021-10-13,3
GRN-20200727-0808,2020-07-27,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,338,Joint Medical Store,N2PYGV5Z,2022-01-11,3
GRN-20200728-0809,2020-07-28,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1589,EMHS Uganda,1E5MHMLD,2022-06-15,0
GRN-20200728-0810,2020-07-28,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,809,National Medical Stores,HW79JJ6L,2022-08-19,2
GRN-20200729-0811,2020-07-29,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,927,Cipla Quality Chemicals,ZNEQ8HDV,2022-07-21,4
GRN-20200730-0812,2020-07-30,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,403,National Medical Stores,UDYD5507,2021-11-08,3
GRN-20200731-0813,2020-07-31,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1213,EMHS Uganda,MLCGYWTH,2022-12-01,2
GRN-20200731-0814,2020-07-31,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1281,Cipla Quality Chemicals,L2DFEUWR,2023-01-01,4
GRN-20200802-0815,2020-08-02,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2096,Abacus Pharma,SAWQIIWZ,2022-07-16,0
GRN-20200802-0816,2020-08-02,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1517,Quality Chemicals Industries,8FNG8J79,2021-10-01,2
GRN-20200802-0817,2020-08-02,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,610,Quality Chemicals Industries,OJJ5JCES,2022-03-05,3
GRN-20200802-0818,2020-08-02,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1752,Abacus Pharma,YIRB5NB2,2021-09-04,4
GRN-20200802-0819,2020-08-02,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,986,Joint Medical Store,MNPGQ9TA,2021-12-19,0
GRN-20200804-0820,2020-08-04,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2417,National Medical Stores,H7MAFNYT,2022-05-23,0
GRN-20200806-0821,2020-08-06,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,1109,Cipla Quality Chemicals,2OYS3GB3,2021-11-19,3
GRN-20200808-0822,2020-08-08,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1137,Abacus Pharma,P3TIH5UW,2022-06-24,1
GRN-20200809-0823,2020-08-09,Allan Galpin Health Center,D028,ORS Sachets,1312,Abacus Pharma,BBOUMVHU,2022-12-29,7
GRN-20200809-0824,2020-08-09,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,990,Joint Medical Store,HMUATNNT,2021-09-17,7
GRN-20200810-0825,2020-08-10,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,2474,National Medical Stores,BPA67IL5,2021-09-18,1
GRN-20200810-0826,2020-08-10,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,748,Abacus Pharma,JM594AT1,2022-02-06,2
GRN-20200810-0827,2020-08-10,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,819,EMHS Uganda,98DG6GMT,2021-11-20,1
GRN-20200810-0828,2020-08-10,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1119,Abacus Pharma,4R1EXQJU,2022-03-09,5
GRN-20200812-0829,2020-08-12,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,3213,Cipla Quality Chemicals,FEI90TQP,2023-01-01,7
GRN-20200812-0830,2020-08-12,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,953,National Medical Stores,DMAHBYU0,2022-01-25,7
GRN-20200812-0831,2020-08-12,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1898,Cipla Quality Chemicals,P2CY06JJ,2022-10-27,4
GRN-20200813-0832,2020-08-13,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,694,National Medical Stores,UEC2JQDM,2021-09-18,1
GRN-20200814-0833,2020-08-14,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,1494,EMHS Uganda,G52DXZCA,2022-05-20,3
GRN-20200814-0834,2020-08-14,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,606,Cipla Quality Chemicals,BJCR2HSO,2021-08-20,6
GRN-20200817-0835,2020-08-17,Allan Galpin Health Center,D021,Metformin 850mg Tablets,2521,Quality Chemicals Industries,5QPB51DU,2023-01-29,1
GRN-20200817-0836,2020-08-17,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,848,Abacus Pharma,E40K6840,2022-10-21,2
GRN-20200817-0837,2020-08-17,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1817,EMHS Uganda,8EZNRYAM,2022-11-11,6
GRN-20200818-0838,2020-08-18,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1262,National Medical Stores,ZQ9MILBR,2022-05-09,0
GRN-20200818-0839,2020-08-18,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,2121,Cipla Quality Chemicals,H784P1X6,2022-07-13,0
GRN-20200819-0840,2020-08-19,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,942,Abacus Pharma,VZ93RXDX,2022-06-18,2
GRN-20200820-0841,2020-08-20,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,382,EMHS Uganda,7JMDN6TZ,2022-04-28,3
GRN-20200821-0842,2020-08-21,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1085,National Medical Stores,SWI1UVXS,2021-10-09,3
GRN-20200822-0843,2020-08-22,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1594,Quality Chemicals Industries,VOLAQ2XC,2021-09-11,4
GRN-20200822-0844,2020-08-22,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1207,Quality Chemicals Industries,A3WK0D0L,2021-09-13,1
GRN-20200823-0845,2020-08-23,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,475,National Medical Stores,4WQCTXQG,2021-12-09,5
GRN-20200824-0846,2020-08-24,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,908,Quality Chemicals Industries,4HS1Z805,2021-09-18,7
GRN-20200825-0847,2020-08-25,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1921,EMHS Uganda,8JWLEEXG,2022-06-05,4
GRN-20200825-0848,2020-08-25,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,655,Abacus Pharma,NI884HLD,2022-09-06,5
GRN-20200826-0849,2020-08-26,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,447,Quality Chemicals Industries,XEG1DSDN,2022-09-07,5
GRN-20200827-0850,2020-08-27,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,796,Abacus Pharma,OBYOB1RP,2022-10-03,0
GRN-20200828-0851,2020-08-28,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2390,Joint Medical Store,9SIGJD5Y,2022-03-10,4
GRN-20200829-0852,2020-08-29,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2863,Quality Chemicals Industries,DD6I77JT,2022-01-03,2
GRN-20200831-0853,2020-08-31,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1329,Joint Medical Store,E90YU283,2022-10-31,5
GRN-20200901-0854,2020-09-01,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,956,Abacus Pharma,HAANV30D,2023-02-10,0
GRN-20200901-0855,2020-09-01,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,878,Cipla Quality Chemicals,PLMC3DTP,2021-10-26,0
GRN-20200901-0856,2020-09-01,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,739,Abacus Pharma,1C20KM14,2022-02-12,6
GRN-20200902-0857,2020-09-02,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1473,EMHS Uganda,QAY8HS8G,2021-11-16,2
GRN-20200903-0858,2020-09-03,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1954,Cipla Quality Chemicals,4PI95RK0,2022-01-17,6
GRN-20200904-0859,2020-09-04,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,2804,Cipla Quality Chemicals,EUDDVZPF,2022-09-12,3
GRN-20200904-0860,2020-09-04,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,644,Quality Chemicals Industries,MW2ODTZJ,2022-07-05,2
GRN-20200905-0861,2020-09-05,Allan Galpin Health Center,D021,Metformin 850mg Tablets,1520,Quality Chemicals Industries,K92A01AA,2023-02-01,3
GRN-20200905-0862,2020-09-05,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1227,Quality Chemicals Industries,DNYSGXRF,2022-10-28,5
GRN-20200906-0863,2020-09-06,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,3320,Abacus Pharma,ZKOPH6U3,2022-10-12,7
GRN-20200907-0864,2020-09-07,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1101,Cipla Quality Chemicals,8QA729AN,2023-01-18,3
GRN-20200907-0865,2020-09-07,Allan Galpin Health Center,D028,ORS Sachets,2183,EMHS Uganda,9FEEWMT9,2022-09-24,2
GRN-20200907-0866,2020-09-07,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1109,EMHS Uganda,MO3RJ0CN,2022-06-28,1
GRN-20200908-0867,2020-09-08,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,603,Joint Medical Store,MVO0RWK5,2022-01-23,0
GRN-20200908-0868,2020-09-08,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1260,National Medical Stores,271UHDC8,2022-10-07,6
GRN-20200909-0869,2020-09-09,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1030,EMHS Uganda,WJFCH6PP,2022-02-01,1
GRN-20200911-0870,2020-09-11,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1492,Quality Chemicals Industries,9MTHOPR9,2022-03-01,6
GRN-20200913-0871,2020-09-13,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,2337,Joint Medical Store,3IQIU8BS,2022-01-07,6
GRN-20200913-0872,2020-09-13,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,672,Quality Chemicals Industries,W8ELRJ5P,2022-05-12,2
GRN-20200914-0873,2020-09-14,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,2024,Cipla Quality Chemicals,LPSFIUVY,2021-10-21,5
GRN-20200915-0874,2020-09-15,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1093,Cipla Quality Chemicals,4J0JLOTC,2023-01-19,4
GRN-20200916-0875,2020-09-16,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2799,Abacus Pharma,2CYBNZTK,2022-06-09,1
GRN-20200917-0876,2020-09-17,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,528,Quality Chemicals Industries,J5RN10C1,2022-11-29,0
GRN-20200917-0877,2020-09-17,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,655,EMHS Uganda,NLBJ1CGX,2023-01-01,7
GRN-20200917-0878,2020-09-17,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,419,National Medical Stores,C5WOPP4U,2023-02-23,2
GRN-20200918-0879,2020-09-18,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,534,Quality Chemicals Industries,TOG95RLF,2022-06-19,7
GRN-20200918-0880,2020-09-18,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1187,EMHS Uganda,2M2M2ZLT,2021-12-08,7
GRN-20200918-0881,2020-09-18,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1549,Joint Medical Store,C0QS4ESS,2022-11-14,1
GRN-20200918-0882,2020-09-18,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,773,Quality Chemicals Industries,PUVFTLWN,2022-06-03,1
GRN-20200919-0883,2020-09-19,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,766,Joint Medical Store,703Y6S9Z,2022-03-25,7
GRN-20200920-0884,2020-09-20,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,442,EMHS Uganda,GHD5OAFZ,2022-04-09,0
GRN-20200921-0885,2020-09-21,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,467,EMHS Uganda,3D17617K,2021-12-05,3
GRN-20200921-0886,2020-09-21,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,843,EMHS Uganda,6NDISKWD,2022-11-22,5
GRN-20200922-0887,2020-09-22,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1275,EMHS Uganda,YVCNVOBP,2021-10-06,2
GRN-20200923-0888,2020-09-23,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1372,Cipla Quality Chemicals,10W7IIL4,2022-06-04,2
GRN-20200924-0889,2020-09-24,Allan Galpin Health Center,D002,Artesunate Injection 60mg,821,Abacus Pharma,GBMZ6GLW,2022-06-06,5
GRN-20200925-0890,2020-09-25,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,1868,EMHS Uganda,IAENUQ23,2022-10-19,7
GRN-20200925-0891,2020-09-25,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,923,Cipla Quality Chemicals,VX1IIHD7,2022-05-13,2
GRN-20200925-0892,2020-09-25,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1539,National Medical Stores,MW13CWMD,2022-07-14,6
GRN-20200926-0893,2020-09-26,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,872,Cipla Quality Chemicals,3GQYWZC8,2022-11-20,3
GRN-20200927-0894,2020-09-27,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,589,Joint Medical Store,7FPG8BHG,2021-12-21,2
GRN-20200927-0895,2020-09-27,Allan Galpin Health Center,D021,Metformin 850mg Tablets,2526,National Medical Stores,47VKQQ31,2022-08-26,2
GRN-20200928-0896,2020-09-28,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,703,Joint Medical Store,K7LPMJYV,2022-04-24,3
GRN-20200929-0897,2020-09-29,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,867,Abacus Pharma,G09I9Q5Z,2023-01-27,1
GRN-20200929-0898,2020-09-29,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1759,Quality Chemicals Industries,MZIUJQJX,2022-05-23,2
GRN-20200930-0899,2020-09-30,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1150,Quality Chemicals Industries,TXGO83JR,2023-02-25,7
GRN-20201001-0900,2020-10-01,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2071,Cipla Quality Chemicals,MSWKSLOA,2022-08-30,4
GRN-20201002-0901,2020-10-02,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,4656,Joint Medical Store,0CNA490H,2022-02-01,4
GRN-20201004-0902,2020-10-04,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1075,Abacus Pharma,6THE38OO,2022-01-12,4
GRN-20201004-0903,2020-10-04,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,1004,Quality Chemicals Industries,0DFCL6BV,2021-10-13,6
GRN-20201004-0904,2020-10-04,Allan Galpin Health Center,D027,Atenolol 50mg Tablets,657,Abacus Pharma,6EU0TLC5,2022-05-26,2
GRN-20201005-0905,2020-10-05,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,819,Abacus Pharma,NE8QDL5K,2023-01-08,7
GRN-20201006-0906,2020-10-06,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,659,Quality Chemicals Industries,2SF8KAFT,2021-11-09,5
GRN-20201008-0907,2020-10-08,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1220,Quality Chemicals Industries,SOU0YBS8,2023-01-13,7
GRN-20201008-0908,2020-10-08,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1435,National Medical Stores,ESRPHFT5,2023-01-13,3
GRN-20201009-0909,2020-10-09,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,710,National Medical Stores,P94FF9TU,2022-06-05,6
GRN-20201009-0910,2020-10-09,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,272,EMHS Uganda,GK04KV74,2022-01-22,2
GRN-20201011-0911,2020-10-11,Allan Galpin Health Center,D028,ORS Sachets,2070,Joint Medical Store,22CZNS5A,2023-01-12,2
GRN-20201012-0912,2020-10-12,Allan Galpin Health Center,D010,Metronidazole 400mg Tablets,2324,Quality Chemicals Industries,T5MRUKS6,2022-09-04,2
GRN-20201012-0913,2020-10-12,Allan Galpin Health Center,D034,Oxytocin Injection 10IU,536,Abacus Pharma,C8LGB7D1,2022-05-27,3
GRN-20201013-0914,2020-10-13,Allan Galpin Health Center,D002,Artesunate Injection 60mg,796,Joint Medical Store,Z2FQ5AVD,2021-11-22,5
GRN-20201013-0915,2020-10-13,Allan Galpin Health Center,D021,Metformin 850mg Tablets,2190,EMHS Uganda,AL36KLBZ,2022-09-07,6
GRN-20201014-0916,2020-10-14,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1307,Abacus Pharma,7DLH5VPY,2023-01-29,6
GRN-20201014-0917,2020-10-14,Allan Galpin Health Center,D033,Folic Acid 5mg Tablets,1648,Cipla Quality Chemicals,N7FDJSRW,2022-09-20,7
GRN-20201015-0918,2020-10-15,Allan Galpin Health Center,D004,Quinine Sulphate 300mg,611,EMHS Uganda,NNYL5SRE,2022-03-18,4
GRN-20201015-0919,2020-10-15,Allan Galpin Health Center,D008,Ceftriaxone Injection 1g,936,Quality Chemicals Industries,J77S56TI,2022-03-05,2
GRN-20201015-0920,2020-10-15,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,942,Cipla Quality Chemicals,TAUQ7VQD,2022-05-20,1
GRN-20201015-0921,2020-10-15,Allan Galpin Health Center,D014,Ibuprofen 400mg Tablets,2134,Cipla Quality Chemicals,SJV8MEB9,2022-01-09,2
GRN-20201016-0922,2020-10-16,Allan Galpin Health Center,D017,Salbutamol Inhaler 100mcg,1152,EMHS Uganda,1QZEU5DY,2022-01-07,5
GRN-20201016-0923,2020-10-16,Allan Galpin Health Center,D022,Glibenclamide 5mg Tablets,1102,Quality Chemicals Industries,BMGFSP7X,2023-03-11,7
GRN-20201016-0924,2020-10-16,Allan Galpin Health Center,D031,Loperamide 2mg Capsules,832,Abacus Pharma,TW7PGEJV,2022-04-16,2
GRN-20201017-0925,2020-10-17,Allan Galpin Health Center,D024,Amlodipine 5mg Tablets,1847,Cipla Quality Chemicals,SGN84V3S,2023-01-10,3
GRN-20201019-0926,2020-10-19,Allan Galpin Health Center,D023,Insulin Soluble 100IU/mL,661,EMHS Uganda,NOEDSHKS,2021-10-28,7
GRN-20201020-0927,2020-10-20,Allan Galpin Health Center,D011,Doxycycline 100mg Capsules,897,EMHS Uganda,C8ERP0UC,2021-12-01,3
GRN-20201020-0928,2020-10-20,Allan Galpin Health Center,D015,Diclofenac 50mg Tablets,1046,Abacus Pharma,OE3TCMAR,2022-07-09,4
GRN-20201020-0929,2020-10-20,Allan Galpin Health Center,D025,Enalapril 10mg Tablets,1004,Quality Chemicals Industries,AOWQAKUC,2022-01-29,2
GRN-20201021-0930,2020-10-21,Allan Galpin Health Center,D007,Azithromycin 250mg Tablets,1552,EMHS Uganda,490FQNFC,2022-04-19,5
GRN-20201021-0931,2020-10-21,Allan Galpin Health Center,D026,Hydrochlorothiazide 25mg,906,EMHS Uganda,1QA3U60P,2022-12-04,5
GRN-20201023-0932,2020-10-23,Allan Galpin Health Center,D003,Dihydroartemisinin-Piperaquine,672,EMHS Uganda,DV01GIE1,2022-01-21,7
GRN-20201024-0933,2020-10-24,Allan Galpin Health Center,D032,Ferrous Sulphate 200mg Tablets,1391,Joint Medical Store,TXL0K70B,2022-07-26,0
GRN-20201026-0934,2020-10-26,Allan Galpin Health Center,D028,ORS Sachets,1462,National Medical Stores,84GPESKA,2022-01-28,1
GRN-20201027-0935,2020-10-27,Allan Galpin Health Center,D005,Sulfadoxine-Pyrimethamine,1347,Abacus Pharma,CFPBRDCB,2022-08-27,4
GRN-20201027-0936,2020-10-27,Allan Galpin Health Center,D013,Paracetamol 500mg Tablets,2970,Joint Medical Store,LFQ6J7IE,2023-01-03,6
GRN-20201027-0937,2020-10-27,Allan Galpin Health Center,D018,Beclomethasone Inhaler 250mcg,609,EMHS Uganda,SZFOUMF9,2021-12-14,7
GRN-20201027-0938,2020-10-27,Allan Galpin Health Center,D020,Prednisolone 5mg Tablets,719,National Medical Stores,J5IOGNRD,2022-06-04,7
GRN-20201028-0939,2020-10-28,Allan Galpin Health Center,D019,Aminophylline 100mg Tablets,701,Abacus Pharma,2YA66W88,2022-08-03,6
GRN-20201029-0940,2020-10-29,Allan Galpin Health Center,D001,Artemether-Lumefantrine 20/120mg,2793,Cipla Quality Chemicals,7T16JMWO,2022-09-30,7
GRN-20201029-0941,2020-10-29,Allan Galpin Health Center,D035,Misoprostol 200mcg Tablets,378,Abacus Pharma,29GCBLIY,2021-12-28,2
GRN-20201031-0942,2020-10-31,Allan Galpin Health Center,D002,Artesunate Injection 60mg,1169,Joint Medical Store,NM40ENF8,2021-12-12,1
GRN-20201031-0943,2020-10-31,Allan Galpin Health Center,D009,Ciprofloxacin 500mg Tablets,1273,Joint Medical Store,021DVI2T,2022-08-23,1
GRN-20201031-0944,2020-10-31,Allan Galpin Health Center,D012,Erythromycin 500mg Tablets,744,Joint Medical Store,JJ1380OS,2022-03-22,1
GRN-20201031-0945,2020-10-31,Allan Galpin Health Center,D016,Tramadol 50mg Capsules,431,Abacus Pharma,0T23DYVY,2022-07-23,2
GRN-20201102-0946,2020-11-02,Allan Galpin Health Center,D030,Omeprazole 20mg Capsules,1523,Quality Chemicals Industries,1G44JO5B,2022-08-20,6
GRN-20201103-0947,2020-11-03,Allan Galpin Health Center,D029,Zinc Sulphate 20mg Dispersible,1306,EMHS Uganda,95UBX5XC,2022-08-31,5
GRN-20201104-0948,2020-11-04,Allan Galpin Health Center,D006,Amoxicillin 500mg Capsules,2903,Abacus Pharma,CH4VDCS7,2022-10-09,1
GRN-20201104-0949,2020-11-04,Allan Galpin Health Center,D021,Metformin 850mg Tablets,2139,Cipla Quality Chemicals,4H6AQAKZ,2022-11-13,7
