drug_id,drug_name,manufacturer_country,license_holder,distribution_region,facility_type,initial_stock_units,stock_received_date,reorder_level,average_monthly_demand,delivery_frequency_days,lead_time_days,supplier_reliability_score,region_disease_outbreaks,season,transport_accessibility_score,power_stability_index,staff_availability_index,data_record_quality,storage_temperature,storage_humidity,FEFO_policy_implemented,warehouse_capacity_utilization,storage_condition_rating,stockout_occurred,expiry_rate_percent,forecast_error_percent,financial_loss_due_to_expiry_usd,delivery_delay_days,predicted_stockout_probability,expiry_risk_category,data_source
NDA/ABX/HHP/14368,Omeprazole Capsules,India,Ngoma Distributors,Eastern,Clinic,795.0,2024-04-01,219,1950,34,17,0.925,0,Rainy,0.401,0.731,0.739,Moderate,20.0,68.6,1,0.307,Excellent,1,0.0,20.72,0.0,0,0.351,Low,Scopus Research
NDA/MAL/HHP/14369,Paracetamol Tablets,China,Royal Pharma 2011 Ltd,Northern,Pharmacy,2937.0,2023-08-04,334,1129,30,19,0.879,0,Dry,0.334,0.477,0.846,High,18.0,40.7,1,0.129,Excellent,0,1.84,12.19,5.09,1,0.237,Low,Simulated System Logs
NDA/ARV/HHP/14370,Azithromycin Tablets,India,Ngoma Distributors,Eastern,Pharmacy,919.0,2024-09-05,103,5471,71,8,0.848,0,Rainy,0.425,0.405,0.716,Moderate,21.4,81.0,1,0.496,Fair,0,4.9,11.54,24.77,1,0.255,Low,Simulated System Logs
NDA/ABX/HHP/14371,Omeprazole Capsules,Spain,HealthLink Ltd,Eastern,Clinic,893.0,2025-08-02,93,5768,39,24,0.535,0,Dry,0.515,0.575,0.855,High,22.2,72.8,0,0.638,Fair,0,10.5,13.52,190.58,6,0.444,Medium,Field Survey
NDA/CHR/HHP/14372,Tenofovir-Lamivudine-Dolutegravir,Spain,Crown Pharmaceuticals,Northern,Clinic,1373.0,2023-02-12,144,5458,84,20,0.489,0,Dry,0.351,0.305,0.727,Moderate,25.9,84.9,1,0.309,Poor,0,9.11,13.77,2261.15,8,0.521,Medium,Scopus Research
NDA/CHR/HHP/14373,Azithromycin Tablets,India,HealthLink Ltd,Northern,Clinic,619.0,2022-09-02,182,2845,22,24,0.735,0,Rainy,0.649,0.55,0.855,High,23.4,77.0,1,0.333,Fair,0,8.0,6.07,79.2,5,0.283,Medium,Simulated System Logs
NDA/CHR/HHP/14374,Ibuprofen Tablets,India,Abacus Pharma (Africa),Central,Clinic,1429.0,2022-11-14,246,5784,54,11,0.924,0,Rainy,0.884,0.67,0.719,Moderate,28.8,46.0,1,0.63,Fair,0,7.22,27.54,9.72,0,0.247,Medium,Simulated System Logs
NDA/ANL/HHP/14375,Ibuprofen Tablets,China,Abacus Pharma (Africa),Eastern,Hospital,4757.0,2023-01-09,1339,7689,30,24,0.616,0,Dry,0.473,0.382,0.315,Poor,19.5,76.0,1,0.091,Fair,0,2.59,44.07,31.91,8,0.605,Low,Field Survey
NDA/ANL/HHP/14376,Paracetamol Tablets,India,Abacus Pharma (Africa),Western,Hospital,,2022-05-04,805,4032,80,14,0.808,0,Rainy,0.719,0.45,0.541,Moderate,20.1,52.3,1,0.302,Excellent,0,4.07,27.26,34.76,1,0.281,Low,Simulated System Logs
NDA/ANL/HHP/14377,Doxycycline Capsules,China,HealthLink Ltd,Northern,Health Centre IV,3888.0,2025-05-22,798,4557,28,25,0.591,0,Rainy,0.265,0.435,0.711,Moderate,23.7,57.5,1,0.51,Excellent,0,6.67,13.59,289.59,2,0.498,Medium,Field Survey
NDA/CHR/HHP/14378,Artemether-Lumefantrine,China,Abacus Pharma (Africa),Western,Health Centre IV,4067.0,2023-04-23,475,2279,17,9,0.824,0,Rainy,0.72,0.494,0.608,Moderate,25.5,63.4,1,0.529,Fair,0,10.13,27.33,5000.0,0,0.269,Medium,Simulated System Logs
NDA/ARV/HHP/14379,Azithromycin Tablets,Kenya,Crown Pharmaceuticals,Eastern,Warehouse,8455.0,2023-07-20,1011,1550,85,19,0.712,0,Dry,0.426,0.654,0.351,Poor,28.6,73.1,1,0.9,Poor,0,8.3,37.36,1111.4,5,0.534,Medium,Scopus Research
NDA/ABX/HHP/14380,Azithromycin Tablets,India,Crown Pharmaceuticals,Northern,Hospital,2365.0,2022-04-17,503,1380,7,23,0.407,0,Rainy,0.379,0.377,1.0,High,29.3,68.2,1,0.12,Fair,0,6.96,11.28,165.86,6,0.476,Medium,Simulated System Logs
NDA/ABX/HHP/14381,Artemether-Lumefantrine,Spain,HealthLink Ltd,Central,Hospital,5183.0,2025-10-09,595,5542,7,17,0.989,0,Rainy,0.812,0.691,0.896,High,33.9,56.8,1,0.36,Fair,0,8.84,3.55,5000.0,0,0.148,Medium,Field Survey
NDA/MAL/HHP/14382,Azithromycin Tablets,India,Royal Pharma 2011 Ltd,Western,Hospital,5358.0,2025-01-22,1044,2149,23,19,0.552,0,Dry,0.731,0.776,0.97,High,24.1,64.8,0,0.158,Excellent,0,5.35,6.19,143.25,2,0.366,Medium,Field Survey
NDA/CHR/HHP/14383,Amlodipine Tablets,China,HealthLink Ltd,Central,Health Centre IV,1612.0,2024-02-19,328,3835,73,13,0.825,0,Dry,0.744,0.763,0.527,Moderate,26.0,54.2,1,0.303,Fair,0,5.75,24.55,45.89,1,0.267,Medium,Scopus Research
NDA/ANL/HHP/14384,Doxycycline Capsules,Malaysia,HealthLink Ltd,Central,Hospital,2863.0,2025-05-01,496,5409,12,11,0.946,0,Rainy,0.923,0.721,0.672,Moderate,26.2,47.0,0,0.713,Fair,1,7.2,16.0,165.05,0,0.225,Medium,Simulated System Logs
NDA/CHR/HHP/14385,Amoxicillin Capsules,China,MedPlus Uganda,Northern,Pharmacy,1198.0,2023-09-28,208,5675,73,18,0.517,0,Rainy,0.475,0.37,0.857,High,27.2,82.7,0,0.243,Poor,0,8.61,7.13,97.56,5,0.388,Medium,Simulated System Logs
NDA/CHR/HHP/14386,Artemether-Lumefantrine,India,MedPlus Uganda,Central,Health Centre IV,2585.0,2025-09-22,553,6490,11,24,0.732,0,Rainy,0.669,0.892,0.769,High,24.5,59.4,1,0.269,Excellent,0,1.33,18.22,281.31,3,0.361,Low,Field Survey
NDA/CHR/HHP/14387,Amlodipine Tablets,Kenya,HealthLink Ltd,Eastern,Clinic,795.0,2025-09-04,213,2081,41,19,0.663,0,Rainy,0.55,0.57,0.454,Poor,15.9,34.8,0,0.121,Excellent,1,6.96,27.26,272.06,3,0.463,Medium,Field Survey
NDA/MAL/HHP/14388,Artemether-Lumefantrine,Uganda,MedPlus Uganda,Western,Health Centre IV,4299.0,2025-08-24,702,5798,56,15,0.717,0,Dry,0.39,0.586,0.468,Poor,21.1,74.6,1,0.844,Fair,0,6.24,32.38,924.23,0,0.502,Medium,Simulated System Logs
NDA/MAL/HHP/14389,Amoxicillin Capsules,Spain,Abacus Pharma (Africa),Eastern,Warehouse,9373.0,2022-06-05,2661,2608,66,27,0.498,1,Dry,0.574,0.314,0.844,High,24.6,94.2,1,0.35,Fair,1,6.56,4.92,846.73,14,0.632,Medium,Field Survey
NDA/MAL/HHP/14390,Omeprazole Capsules,Spain,Acme Pharma Ltd,Central,Hospital,3821.0,2025-01-19,1134,4008,68,11,0.88,1,Dry,0.637,1.0,0.676,Moderate,19.3,60.0,0,0.619,Excellent,0,4.61,17.73,310.65,0,0.332,Low,Simulated System Logs
NDA/CHR/HHP/14391,Amoxicillin Capsules,Netherlands,Royal Pharma 2011 Ltd,Central,Pharmacy,1958.0,2024-09-15,242,1328,90,16,0.826,0,Rainy,0.769,0.364,0.645,Moderate,17.3,42.4,0,0.735,Excellent,0,9.0,15.36,90.19,0,0.367,Medium,Field Survey
NDA/CHR/HHP/14392,Omeprazole Capsules,Kenya,HealthLink Ltd,Central,Hospital,2137.0,2024-07-19,613,505,69,20,0.835,0,Dry,0.7,0.926,0.545,Moderate,30.0,59.2,0,0.273,Fair,0,7.64,18.78,573.83,1,0.328,Medium,Simulated System Logs
NDA/ANL/HHP/14393,Metformin Tablets,India,MedPlus Uganda,Western,Clinic,1430.0,2022-02-15,297,4295,30,13,0.701,0,Dry,0.587,0.774,0.647,Moderate,29.6,49.2,0,0.368,Fair,0,7.96,25.34,186.26,3,0.38,Medium,Scopus Research
NDA/MAL/HHP/14394,Ibuprofen Tablets,India,Pharma Mart Ltd,Central,Warehouse,7694.0,2023-01-04,1979,477,17,11,0.643,0,Dry,0.986,0.883,0.88,High,21.6,62.9,1,0.4,Excellent,0,0.62,10.39,3.81,2,0.267,Low,Scopus Research
NDA/ARV/HHP/14395,Metformin Tablets,China,Royal Pharma 2011 Ltd,Central,Pharmacy,1379.0,2022-05-01,372,5004,74,13,0.31,0,Rainy,0.873,0.796,0.855,High,31.6,60.4,1,0.779,Fair,1,10.69,9.44,613.36,3,0.435,Medium,Scopus Research
NDA/MAL/HHP/14396,Ibuprofen Tablets,Spain,Royal Pharma 2011 Ltd,Northern,Clinic,951.0,2025-07-14,164,401,90,17,0.938,0,Dry,0.457,0.456,0.759,High,30.8,64.4,0,0.397,Fair,0,13.45,3.74,19.98,0,0.13,Medium,Simulated System Logs
NDA/ANL/HHP/14397,Artemether-Lumefantrine,Malaysia,Crown Pharmaceuticals,Eastern,Clinic,342.0,2025-06-26,70,4244,62,23,0.813,0,Dry,0.426,0.28,0.756,High,30.6,87.8,1,0.472,Poor,0,9.67,11.42,539.31,0,0.402,Medium,Simulated System Logs
NDA/MAL/HHP/14398,Azithromycin Tablets,Kenya,Acme Pharma Ltd,Central,Health Centre IV,2479.0,2022-08-05,249,5954,52,17,0.719,0,Dry,0.636,1.0,0.93,High,23.7,65.6,1,0.408,Excellent,1,3.78,1.98,152.2,2,0.243,Low,Simulated System Logs
NDA/ARV/HHP/14399,Metformin Tablets,China,Crown Pharmaceuticals,Northern,Health Centre IV,3599.0,2025-02-23,873,7438,47,20,0.564,0,Dry,0.548,0.295,0.36,Poor,20.1,74.4,1,0.108,Fair,0,5.03,38.53,570.31,2,0.537,Medium,Simulated System Logs
NDA/ARV/HHP/14400,Doxycycline Capsules,Spain,Crown Pharmaceuticals,Central,Hospital,2734.0,2025-12-19,704,7632,21,16,0.849,0,Dry,0.741,0.77,0.651,Moderate,22.3,66.8,1,0.164,Excellent,1,0.0,20.82,0.0,2,0.2,Low,Scopus Research
NDA/ABX/HHP/14401,Ceftriaxone Injection,India,Acme Pharma Ltd,Central,Clinic,505.0,2023-08-31,113,4420,14,9,0.694,0,Dry,0.777,0.553,0.794,High,24.1,45.8,0,0.355,Excellent,0,5.46,6.17,73.65,1,0.252,Medium,Scopus Research
NDA/MAL/HHP/14402,Ceftriaxone Injection,India,Pharma Mart Ltd,Central,Hospital,6660.0,2025-06-08,1987,7527,21,20,0.5,0,Dry,0.684,0.653,0.612,Moderate,27.2,77.4,1,0.188,Poor,1,6.43,20.34,1939.1,3,0.425,Medium,Simulated System Logs
NDA/ABX/HHP/14403,Paracetamol Tablets,Uganda,Acme Pharma Ltd,Eastern,Health Centre IV,1757.0,2025-12-31,300,1258,27,16,0.915,0,Dry,0.479,0.34,0.843,High,36.5,61.8,1,0.217,Fair,0,17.27,12.21,83.28,0,0.166,High,Simulated System Logs
NDA/ABX/HHP/14404,Tenofovir-Lamivudine-Dolutegravir,India,Abacus Pharma (Africa),Western,Hospital,6223.0,2022-08-29,1858,8086,54,15,0.638,0,Dry,0.449,0.555,0.289,,20.3,55.6,0,0.117,Excellent,1,3.77,42.57,561.73,4,0.515,Low,Simulated System Logs
NDA/ARV/HHP/14405,Omeprazole Capsules,India,Pharma Mart Ltd,Eastern,Hospital,4975.0,2022-08-04,865,4131,34,24,0.482,0,Dry,0.485,0.285,0.633,Moderate,22.2,70.4,1,0.262,Fair,0,3.32,10.65,683.79,10,0.543,Low,Simulated System Logs
NDA/ARV/HHP/14406,Co-trimoxazole Tablets,India,HealthLink Ltd,Central,Pharmacy,923.0,2025-05-26,176,6889,34,14,0.844,0,Rainy,0.826,0.731,0.658,Moderate,27.0,79.5,0,0.553,Poor,0,6.23,18.15,26.81,2,0.337,Medium,Simulated System Logs
NDA/MAL/HHP/14407,Ceftriaxone Injection,Spain,Abacus Pharma (Africa),Central,Hospital,6772.0,2022-03-30,1419,3036,37,13,0.503,0,Rainy,0.917,0.901,0.673,Moderate,23.6,71.8,1,0.475,Fair,1,3.17,19.45,1012.7,2,0.442,Low,Scopus Research
NDA/ABX/HHP/14408,Amoxicillin Capsules,Malaysia,Acme Pharma Ltd,Central,Hospital,5284.0,2023-07-27,1465,3647,44,15,0.781,0,Dry,0.628,0.898,0.969,Moderate,24.2,,1,0.467,Excellent,1,3.08,10.15,145.45,2,0.317,Low,Simulated System Logs
NDA/ABX/HHP/14409,Artemether-Lumefantrine,Malaysia,Abacus Pharma (Africa),Eastern,Warehouse,7918.0,2024-06-09,1397,1622,87,23,0.503,0,Dry,0.335,0.362,0.849,High,24.8,78.7,1,0.453,Fair,0,5.34,10.06,1366.96,6,0.469,Medium,Field Survey
NDA/ANL/HHP/14410,Ceftriaxone Injection,Kenya,Royal Pharma 2011 Ltd,Central,Hospital,5040.0,2025-02-23,939,4505,23,17,0.357,0,Dry,0.611,0.722,0.825,,26.7,52.8,1,0.126,Fair,0,5.33,12.27,498.95,5,0.468,Medium,Field Survey
NDA/CHR/HHP/14411,Tenofovir-Lamivudine-Dolutegravir,India,HealthLink Ltd,Central,Pharmacy,1056.0,2025-11-30,201,2475,67,9,0.913,0,Rainy,0.88,0.911,0.684,Moderate,18.5,63.1,1,0.329,Excellent,1,4.87,19.7,372.61,0,0.185,Low,Field Survey
NDA/ANL/HHP/14412,Amoxicillin Capsules,India,HealthLink Ltd,Eastern,Hospital,4613.0,2025-09-14,1074,6652,67,22,0.944,0,Rainy,0.383,0.521,0.748,Moderate,26.1,52.9,1,0.441,Fair,0,6.13,19.27,512.35,1,0.335,Medium,Simulated System Logs
NDA/CHR/HHP/14413,Azithromycin Tablets,India,HealthLink Ltd,Central,Health Centre IV,3409.0,2022-03-07,412,2225,55,6,,0,Rainy,0.893,0.996,0.671,Moderate,25.6,61.0,1,0.362,Fair,0,2.05,15.47,68.73,0,0.178,Low,Field Survey
NDA/ARV/HHP/14414,Tenofovir-Lamivudine-Dolutegravir,China,Royal Pharma 2011 Ltd,Eastern,Clinic,1212.0,2023-02-15,251,2267,82,13,0.901,1,Dry,0.453,0.436,0.601,Moderate,15.2,74.3,0,0.124,Fair,0,7.11,19.77,320.51,0,0.354,Medium,Simulated System Logs
NDA/CHR/HHP/14415,Metformin Tablets,Netherlands,Abacus Pharma (Africa),Central,Hospital,2176.0,2023-04-20,322,4848,26,4,0.696,0,Rainy,0.846,0.891,0.646,Moderate,31.9,53.4,1,0.355,Fair,0,5.61,23.19,521.57,1,0.309,Medium,Field Survey
NDA/ABX/HHP/14416,Azithromycin Tablets,China,MedPlus Uganda,Western,Health Centre IV,2932.0,2023-06-19,780,6690,44,24,0.928,0,Dry,0.484,0.445,0.882,High,26.6,54.9,1,0.056,Fair,1,6.16,11.1,115.38,3,0.219,Medium,Simulated System Logs
NDA/ARV/HHP/14417,Co-trimoxazole Tablets,India,MedPlus Uganda,Central,Pharmacy,2810.0,2023-02-19,520,356,79,20,0.83,0,Dry,0.857,0.66,0.758,Moderate,17.0,50.9,1,0.571,Excellent,0,4.87,15.03,28.43,1,0.304,Low,Simulated System Logs
NDA/ANL/HHP/14418,Tenofovir-Lamivudine-Dolutegravir,Malaysia,HealthLink Ltd,Central,Health Centre IV,2145.0,2025-03-05,500,649,87,17,0.339,0,Rainy,0.879,0.959,0.696,Moderate,22.2,57.6,0,0.359,Excellent,0,6.4,19.43,2134.78,8,0.476,Medium,Field Survey
NDA/ARV/HHP/14419,Omeprazole Capsules,Kenya,Pharma Mart Ltd,Western,Hospital,6192.0,2024-02-29,1578,2247,25,20,0.897,0,Dry,0.578,0.54,0.518,Moderate,22.1,74.8,0,0.739,Fair,0,7.77,27.03,1334.71,1,0.302,Medium,Field Survey
NDA/MAL/HHP/14420,Omeprazole Capsules,China,Acme Pharma Ltd,Central,Warehouse,8667.0,2025-08-06,1473,1658,66,16,0.427,0,Dry,0.658,0.669,0.637,Moderate,22.2,71.0,1,0.466,Fair,0,0.0,19.67,0.0,5,0.486,Low,Simulated System Logs
NDA/ANL/HHP/14421,Ibuprofen Tablets,Uganda,Crown Pharmaceuticals,Central,Pharmacy,2856.0,2024-06-19,325,5866,86,19,0.704,0,Dry,0.697,0.834,0.465,Poor,19.9,69.3,0,0.086,Excellent,0,4.49,37.75,13.14,4,0.541,Low,Simulated System Logs
NDA/CHR/HHP/14422,Paracetamol Tablets,China,Abacus Pharma (Africa),Central,Warehouse,8017.0,2022-02-05,2371,360,59,14,0.882,0,Dry,0.679,0.782,0.746,Moderate,27.4,43.6,0,0.275,Fair,0,6.69,22.52,48.14,1,0.28,Medium,Scopus Research
NDA/ARV/HHP/14423,Amoxicillin Capsules,Kenya,MedPlus Uganda,Eastern,Warehouse,8847.0,2022-05-13,2148,718,46,19,,0,Rainy,0.595,0.634,0.885,High,20.9,65.7,0,0.929,Excellent,1,11.49,1.52,1788.78,6,0.375,Medium,Simulated System Logs
NDA/MAL/HHP/14424,Tenofovir-Lamivudine-Dolutegravir,India,HealthLink Ltd,Northern,Clinic,345.0,2023-12-03,37,4120,75,17,0.637,0,Dry,0.466,0.514,0.583,Moderate,31.2,48.4,1,0.191,Fair,1,7.16,23.33,143.03,3,0.426,Medium,Simulated System Logs
NDA/ANL/HHP/14425,Omeprazole Capsules,India,Abacus Pharma (Africa),Northern,Health Centre IV,4625.0,2024-05-17,1086,2319,28,13,0.674,0,Rainy,0.236,0.391,1.0,High,27.3,55.7,1,0.153,Fair,0,5.51,9.56,1054.54,1,0.342,Medium,Field Survey
NDA/ANL/HHP/14426,Azithromycin Tablets,China,Royal Pharma 2011 Ltd,Western,Hospital,3214.0,2025-07-20,669,5880,42,27,0.586,0,Dry,0.367,0.572,0.701,Moderate,24.2,52.6,1,0.609,Excellent,1,1.05,11.15,42.63,8,0.479,Low,Field Survey
NDA/ABX/HHP/14427,Paracetamol Tablets,Kenya,Crown Pharmaceuticals,Northern,Clinic,768.0,2022-12-29,219,2405,69,16,0.915,0,Dry,0.435,0.408,0.389,Poor,21.9,49.2,1,0.256,Excellent,1,4.69,36.19,7.42,0,0.433,Low,Scopus Research
NDA/ANL/HHP/14428,Amoxicillin Capsules,China,Crown Pharmaceuticals,Central,Clinic,345.0,2023-01-10,70,5483,16,14,0.74,0,Dry,0.83,0.797,0.576,Moderate,16.0,51.0,1,0.518,Excellent,0,3.93,27.74,6.96,1,0.361,Low,Field Survey
NDA/ANL/HHP/14429,Tenofovir-Lamivudine-Dolutegravir,China,Royal Pharma 2011 Ltd,Central,Hospital,2363.0,2023-05-27,285,3536,21,20,0.9,0,Rainy,0.702,0.946,0.643,Moderate,20.1,69.7,1,0.591,Excellent,0,0.83,22.29,255.2,2,0.257,Low,Scopus Research
NDA/MAL/HHP/14430,Co-trimoxazole Tablets,China,Royal Pharma 2011 Ltd,Eastern,Clinic,285.0,2025-09-11,84,1299,43,22,0.627,0,Rainy,0.468,0.853,0.552,Moderate,22.8,58.0,0,0.759,Excellent,0,7.21,17.27,35.67,2,0.482,Medium,Scopus Research
NDA/ABX/HHP/14431,Co-trimoxazole Tablets,Netherlands,Royal Pharma 2011 Ltd,Northern,Pharmacy,1355.0,2023-09-21,390,6465,90,24,0.723,0,Rainy,0.462,0.272,0.785,High,20.1,46.9,1,0.489,Excellent,1,3.39,9.92,164.97,8,0.349,Low,Field Survey
NDA/ARV/HHP/14432,Artemether-Lumefantrine,China,MedPlus Uganda,Central,Clinic,151.0,2025-12-14,23,1351,63,14,0.623,0,Dry,0.639,0.645,0.631,Moderate,25.1,57.1,1,0.287,Fair,0,2.47,15.89,32.43,2,0.378,Low,Scopus Research
NDA/ANL/HHP/14433,Co-trimoxazole Tablets,Malaysia,Acme Pharma Ltd,Central,Pharmacy,1682.0,2024-12-22,437,7181,30,20,0.883,0,Dry,0.825,0.766,0.829,High,23.4,37.5,1,0.661,Excellent,0,5.65,4.09,197.87,0,0.234,Medium,Simulated System Logs
NDA/CHR/HHP/14434,Paracetamol Tablets,India,Abacus Pharma (Africa),Western,Hospital,5016.0,2022-03-09,707,1431,45,21,0.842,0,Rainy,0.46,0.755,0.773,High,24.1,66.1,1,0.76,Excellent,0,7.67,14.14,130.95,2,0.305,Medium,Scopus Research
NDA/CHR/HHP/14435,Artemether-Lumefantrine,India,Royal Pharma 2011 Ltd,Northern,Clinic,1212.0,2025-06-03,161,4751,26,22,0.585,0,Dry,0.465,0.572,0.687,Moderate,24.4,69.6,1,0.292,Excellent,1,5.95,23.38,564.07,4,0.423,Medium,Field Survey
NDA/ANL/HHP/14436,Co-trimoxazole Tablets,India,Pharma Mart Ltd,Central,Health Centre IV,4745.0,2025-08-18,1242,6525,39,11,0.801,0,Dry,1.0,0.977,1.0,High,30.4,60.8,0,0.708,Fair,0,7.76,8.16,656.21,2,0.227,Medium,Simulated System Logs
NDA/MAL/HHP/14437,Metformin Tablets,China,MedPlus Uganda,Eastern,Health Centre IV,2544.0,2022-08-23,358,1727,35,18,0.699,1,Dry,0.166,0.478,0.732,Moderate,26.0,49.5,1,0.383,Fair,0,3.66,12.04,80.96,3,0.55,Low,Simulated System Logs
NDA/MAL/HHP/14438,Omeprazole Capsules,Malaysia,Royal Pharma 2011 Ltd,Western,Health Centre IV,1110.0,2022-02-14,286,7870,66,20,0.675,0,Dry,0.46,0.732,0.611,Moderate,33.5,47.4,1,0.529,Fair,0,10.46,18.64,519.9,5,0.435,Medium,Field Survey
NDA/MAL/HHP/14439,Azithromycin Tablets,Spain,Abacus Pharma (Africa),Central,Clinic,1453.0,2025-03-31,270,348,90,14,0.778,0,Rainy,0.8,0.814,0.893,High,24.0,77.2,1,0.54,Fair,0,4.84,15.36,112.65,1,0.31,Low,Field Survey
NDA/ABX/HHP/14440,Amlodipine Tablets,China,MedPlus Uganda,Central,Pharmacy,,2023-12-17,400,363,79,17,0.755,0,Dry,0.786,0.6,0.473,Poor,22.4,68.2,1,0.532,Excellent,0,5.23,33.43,577.16,2,0.409,Medium,Simulated System Logs
NDA/CHR/HHP/14441,Amlodipine Tablets,Kenya,Acme Pharma Ltd,Central,Hospital,6284.0,2025-05-20,793,8768,10,15,0.535,0,Rainy,0.785,0.855,0.762,Moderate,22.7,66.9,1,0.463,Excellent,1,3.66,15.37,51.71,3,0.381,Low,Field Survey
NDA/CHR/HHP/14442,Omeprazole Capsules,India,Pharma Mart Ltd,Eastern,Clinic,310.0,2022-03-29,69,986,67,13,0.817,0,Rainy,0.57,0.394,0.684,Moderate,27.7,66.1,1,0.541,Fair,0,5.12,26.3,43.27,0,0.368,Medium,Field Survey
NDA/MAL/HHP/14443,Omeprazole Capsules,Spain,HealthLink Ltd,Central,Health Centre IV,4137.0,2023-05-14,461,1475,28,19,0.457,0,Rainy,0.733,1.0,0.656,Moderate,22.8,64.1,1,0.476,Excellent,0,2.91,15.52,304.72,6,0.496,Low,Field Survey
NDA/MAL/HHP/14444,Ibuprofen Tablets,Malaysia,Royal Pharma 2011 Ltd,Central,Warehouse,7869.0,2025-05-27,983,345,84,16,0.711,0,Rainy,0.615,0.887,0.742,Moderate,19.5,60.5,1,0.94,Excellent,1,3.92,21.77,105.97,0,0.442,Low,Simulated System Logs
NDA/ABX/HHP/14445,Metformin Tablets,Malaysia,Acme Pharma Ltd,Northern,Pharmacy,820.0,2024-09-15,225,4420,73,19,0.583,1,Rainy,0.481,0.52,0.796,High,22.5,70.1,0,0.74,Fair,1,7.7,6.72,54.15,6,0.535,Medium,Field Survey
NDA/ABX/HHP/14446,Artemether-Lumefantrine,Kenya,Ngoma Distributors,Central,Hospital,2721.0,2022-03-17,579,2574,80,16,0.763,1,Rainy,0.836,1.0,0.343,Poor,23.7,71.0,1,0.082,Fair,0,3.28,33.39,319.73,2,0.467,Low,Field Survey
NDA/ARV/HHP/14447,Artemether-Lumefantrine,Kenya,Royal Pharma 2011 Ltd,Central,Pharmacy,1049.0,2025-01-19,162,6376,11,12,0.698,0,Dry,0.724,0.712,0.692,Moderate,27.7,54.3,0,0.542,Fair,0,8.7,19.69,1755.48,2,0.368,Medium,Simulated System Logs
NDA/MAL/HHP/14448,Co-trimoxazole Tablets,India,Crown Pharmaceuticals,Central,Hospital,2829.0,2023-11-19,591,8223,61,16,0.762,0,Rainy,0.689,0.805,1.0,High,27.9,54.9,1,0.72,Fair,1,7.47,3.52,999.51,2,0.286,Medium,Field Survey
NDA/MAL/HHP/14449,Amlodipine Tablets,India,Abacus Pharma (Africa),Western,Clinic,799.0,2022-06-28,231,4698,8,13,0.505,0,Dry,0.349,0.613,0.617,Moderate,23.9,76.9,1,0.707,Fair,0,6.02,16.65,79.75,1,0.517,Medium,Field Survey
NDA/MAL/HHP/14450,Azithromycin Tablets,India,Pharma Mart Ltd,Central,Warehouse,7964.0,2023-03-28,1232,72,27,15,0.668,0,Rainy,0.656,0.901,0.748,Moderate,21.8,66.3,1,0.522,Excellent,0,2.07,30.14,127.97,1,0.399,Low,Simulated System Logs
NDA/CHR/HHP/14451,Ceftriaxone Injection,India,Acme Pharma Ltd,Northern,Pharmacy,2308.0,2024-03-16,245,8073,87,25,0.808,0,Rainy,0.322,0.649,0.965,High,30.1,59.2,0,0.491,Fair,0,9.85,10.2,1058.42,2,0.337,Medium,Scopus Research
NDA/MAL/HHP/14452,Ceftriaxone Injection,Malaysia,Ngoma Distributors,Northern,Pharmacy,1262.0,2024-07-31,263,6280,11,22,0.681,0,Dry,0.311,0.261,0.645,Moderate,18.9,75.6,1,0.364,Fair,0,4.05,18.83,104.39,7,0.466,Low,Field Survey
NDA/ANL/HHP/14453,Paracetamol Tablets,Kenya,Crown Pharmaceuticals,Central,Pharmacy,1023.0,2022-09-23,237,8832,66,10,0.801,1,Rainy,0.874,0.783,0.94,High,35.1,54.0,1,0.279,Fair,1,11.06,9.37,53.04,1,0.293,Medium,Scopus Research
NDA/ARV/HHP/14454,Ibuprofen Tablets,China,Crown Pharmaceuticals,Western,Clinic,183.0,2025-06-24,51,647,40,21,0.719,0,Dry,0.665,0.804,0.934,High,32.2,47.8,1,0.542,Fair,0,13.44,0.0,5.85,4,0.311,Medium,Simulated System Logs
NDA/ANL/HHP/14455,Tenofovir-Lamivudine-Dolutegravir,India,Pharma Mart Ltd,Central,Warehouse,9582.0,2024-10-19,1042,1366,23,23,0.57,0,Rainy,0.454,0.916,0.801,High,19.1,78.4,0,0.299,Fair,1,4.78,13.42,5000.0,4,0.416,Low,Scopus Research
NDA/ABX/HHP/14456,Tenofovir-Lamivudine-Dolutegravir,India,Ngoma Distributors,Central,Hospital,3354.0,2025-03-03,909,6089,73,14,0.889,0,Rainy,0.818,0.89,0.622,Moderate,23.5,60.4,1,0.664,Excellent,0,1.21,13.38,800.12,0,0.337,Low,Scopus Research
NDA/ANL/HHP/14457,Ibuprofen Tablets,India,Royal Pharma 2011 Ltd,Western,Clinic,411.0,2024-12-16,119,3300,12,17,0.818,0,Dry,0.694,0.51,0.562,Moderate,26.2,56.9,0,0.502,Fair,0,8.05,16.0,5.19,0,0.324,Medium,Field Survey
NDA/MAL/HHP/14458,Doxycycline Capsules,Spain,HealthLink Ltd,Central,Pharmacy,858.0,2024-02-08,162,1850,17,13,0.932,0,Dry,0.671,0.613,1.0,High,23.8,58.6,0,0.15,Excellent,1,2.22,9.49,26.42,1,0.191,Low,Simulated System Logs
NDA/CHR/HHP/14459,Paracetamol Tablets,China,Crown Pharmaceuticals,Western,Hospital,2011.0,2022-03-26,435,5334,55,20,0.835,0,Rainy,0.467,0.615,0.936,High,23.7,54.0,1,0.112,Excellent,1,0.0,0.0,0.0,0,0.252,Low,Simulated System Logs
